Rank,Symbol,Name,Historical Link,Main Link
104,AR,Arweave,https://coinmarketcap.com/currencies/arweave/historical-data/,https://coinmarketcap.com/currencies/arweave/
105,ZIL,Zilliqa,https://coinmarketcap.com/currencies/zilliqa/historical-data/,https://coinmarketcap.com/currencies/zilliqa/
106,ROSE,Oasis Network,https://coinmarketcap.com/currencies/oasis-network/historical-data/,https://coinmarketcap.com/currencies/oasis-network/
107,GNO,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/historical-data/,https://coinmarketcap.com/currencies/gnosis-gno/
108,BAT,Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/historical-data/,https://coinmarketcap.com/currencies/basic-attention-token/
109,SFP,SafePal,https://coinmarketcap.com/currencies/safepal/historical-data/,https://coinmarketcap.com/currencies/safepal/
110,1INCH,1inch Network,https://coinmarketcap.com/currencies/1inch/historical-data/,https://coinmarketcap.com/currencies/1inch/
111,SEI,Sei,https://coinmarketcap.com/currencies/sei/historical-data/,https://coinmarketcap.com/currencies/sei/
112,XCH,Chia,https://coinmarketcap.com/currencies/chia-network/historical-data/,https://coinmarketcap.com/currencies/chia-network/
113,LRC,Loopring,https://coinmarketcap.com/currencies/loopring/historical-data/,https://coinmarketcap.com/currencies/loopring/
114,ENJ,Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/historical-data/,https://coinmarketcap.com/currencies/enjin-coin/
115,HNT,Helium,https://coinmarketcap.com/currencies/helium/historical-data/,https://coinmarketcap.com/currencies/helium/
116,QTUM,Qtum,https://coinmarketcap.com/currencies/qtum/historical-data/,https://coinmarketcap.com/currencies/qtum/
117,ENS,Ethereum Name Service,https://coinmarketcap.com/currencies/ethereum-name-service/historical-data/,https://coinmarketcap.com/currencies/ethereum-name-service/
118,XEM,NEM,https://coinmarketcap.com/currencies/nem/historical-data/,https://coinmarketcap.com/currencies/nem/
119,BTG,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/historical-data/,https://coinmarketcap.com/currencies/bitcoin-gold/
120,AGIX,SingularityNET,https://coinmarketcap.com/currencies/singularitynet/historical-data/,https://coinmarketcap.com/currencies/singularitynet/
121,CVX,Convex Finance,https://coinmarketcap.com/currencies/convex-finance/historical-data/,https://coinmarketcap.com/currencies/convex-finance/
122,MASK,Mask Network,https://coinmarketcap.com/currencies/mask-network/historical-data/,https://coinmarketcap.com/currencies/mask-network/
123,CELO,Celo,https://coinmarketcap.com/currencies/celo/historical-data/,https://coinmarketcap.com/currencies/celo/
124,TFUEL,Theta Fuel,https://coinmarketcap.com/currencies/theta-fuel/historical-data/,https://coinmarketcap.com/currencies/theta-fuel/
125,DCR,Decred,https://coinmarketcap.com/currencies/decred/historical-data/,https://coinmarketcap.com/currencies/decred/
126,ANKR,Ankr,https://coinmarketcap.com/currencies/ankr/historical-data/,https://coinmarketcap.com/currencies/ankr/
127,RVN,Ravencoin,https://coinmarketcap.com/currencies/ravencoin/historical-data/,https://coinmarketcap.com/currencies/ravencoin/
128,OSMO,Osmosis,https://coinmarketcap.com/currencies/osmosis/historical-data/,https://coinmarketcap.com/currencies/osmosis/
129,OCEAN,Ocean Protocol,https://coinmarketcap.com/currencies/ocean-protocol/historical-data/,https://coinmarketcap.com/currencies/ocean-protocol/
130,YFI,yearn.finance,https://coinmarketcap.com/currencies/yearn-finance/historical-data/,https://coinmarketcap.com/currencies/yearn-finance/
131,LPT,Livepeer,https://coinmarketcap.com/currencies/livepeer/historical-data/,https://coinmarketcap.com/currencies/livepeer/
132,HOT,Holo,https://coinmarketcap.com/currencies/holo/historical-data/,https://coinmarketcap.com/currencies/holo/
133,JST,JUST,https://coinmarketcap.com/currencies/just/historical-data/,https://coinmarketcap.com/currencies/just/
134,GMT,STEPN,https://coinmarketcap.com/currencies/green-metaverse-token/historical-data/,https://coinmarketcap.com/currencies/green-metaverse-token/
135,BAL,Balancer,https://coinmarketcap.com/currencies/balancer/historical-data/,https://coinmarketcap.com/currencies/balancer/
136,ELF,aelf,https://coinmarketcap.com/currencies/aelf/historical-data/,https://coinmarketcap.com/currencies/aelf/
137,FET,Fetch.ai,https://coinmarketcap.com/currencies/fetch/historical-data/,https://coinmarketcap.com/currencies/fetch/
138,BLUR,Blur,https://coinmarketcap.com/currencies/blur-token/historical-data/,https://coinmarketcap.com/currencies/blur-token/
139,WAVES,Waves,https://coinmarketcap.com/currencies/waves/historical-data/,https://coinmarketcap.com/currencies/waves/
140,GLM,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/historical-data/,https://coinmarketcap.com/currencies/golem-network-tokens/
141,ANT,Aragon,https://coinmarketcap.com/currencies/aragon/historical-data/,https://coinmarketcap.com/currencies/aragon/
142,AUDIO,Audius,https://coinmarketcap.com/currencies/audius/historical-data/,https://coinmarketcap.com/currencies/audius/
143,JASMY,JasmyCoin,https://coinmarketcap.com/currencies/jasmy/historical-data/,https://coinmarketcap.com/currencies/jasmy/
